id,timestamp,text,searchQuery,clean_content
1839651203451593205,2024-09-27 13:00:00+00:00,"Family... #rollcall
@AirMobilityCmd-McGuire AFB, 721st CRS preps for Hurricane Francine in Alexandria,Louisiana
@MSCSealift-Joint high speed vessel USNS Millinocket arrives at Port Hueneme
@hqSDDC-Wrapped up port operations in Indonesia
Much love!
#togetherwedeliver @US_TRANSCOM",speed in Indonesia ,"Family rollcall
McGuire AFB 721st CRS preps for Hurricane Francine in AlexandriaLouisiana
Joint high speed vessel USNS Millinocket arrives at Port Hueneme
Wrapped up port operations in Indonesia
Much love
togetherwedeliver "
1839455854828855806,2024-09-27 00:03:00+00:00,Speed Instantly Gets Stream Sniped in Indonesia 😂#ishowspeedclipz #ishowspeedlive #ishowspeedrage,speed in Indonesia ,Speed Instantly Gets Stream Sniped in Indonesia ishowspeedclipz ishowspeedlive ishowspeedrage
1839494271444885594,2024-09-27 02:36:00+00:00,"Fermin Aldeguer is the fastest rider in FP1 in Indonesia ahead of Aron Canet then Tony Arbolino!

📸 Speed Up

#MotoGP",speed in Indonesia ,"Fermin Aldeguer is the fastest rider in FP1 in Indonesia ahead of Aron Canet then Tony Arbolino

 Speed Up

MotoGP"
1839290891661615576,2024-09-26 13:08:00+00:00,"Hell nah, wtf are you, he, she they? Speed is well known in Indonesia since age.",speed in Indonesia ,Hell nah wtf are you he she they Speed is well known in Indonesia since age
1838921488512253972,2024-09-25 12:40:00+00:00,"🚨BREAKING;

IShowSpeed has ended his IRL stream in a Southeast Asian country.😭🗿

According to you, which country is the best for streaming? Comment below!

🇮🇩🇵🇭🇸🇬🇨🇳🇲🇾 🇲🇲🇰🇭🇱🇦🇧🇳🇹🇱🇻🇳

#IShowSpeed #Speed #Indonesia #Philippines #Malaysia #Vietnam #Singapore #Papua #Thailand #Bali",speed in Indonesia ,"BREAKING

IShowSpeed has ended his IRL stream in a Southeast Asian country

According to you which country is the best for streaming Comment below

 

IShowSpeed Speed Indonesia Philippines Malaysia Vietnam Singapore Papua Thailand Bali"
1838906276656665017,2024-09-25 11:39:00+00:00,"🚨A fan just gifted Speed a MIDGET MAN condom in Philippines 😭🇵🇭💀🗿.

#IShowSpeed #Speed #Philippines #Indonesia #Singapore",speed in Indonesia ,"A fan just gifted Speed a MIDGET MAN condom in Philippines 

IShowSpeed Speed Philippines Indonesia Singapore"
1839310205085167909,2024-09-26 14:25:00+00:00,It’s a touching tribute that shows how much Speed’s time in Indonesia meant to fans.,speed in Indonesia ,Its a touching tribute that shows how much Speeds time in Indonesia meant to fans
1839326665098543455,2024-09-26 15:30:00+00:00,China's innovative solutions to global transport governance were in the spotlight at the Global Sustainable Transport Forum 2024 in Beijing. Key projects such as Indonesia's Yavan High Speed Rail and Israel's Tel Aviv Light Rail highlighted China's influence.,speed in Indonesia ,Chinas innovative solutions to global transport governance were in the spotlight at the Global Sustainable Transport Forum 2024 in Beijing Key projects such as Indonesias Yavan High Speed Rail and Israels Tel Aviv Light Rail highlighted Chinas influence
1839294033925198035,2024-09-26 13:20:00+00:00,Speed is famous in Indonesia,speed in Indonesia ,Speed is famous in Indonesia
1839295955784577115,2024-09-26 13:28:00+00:00,I dont know. But i think other streamer is not as famous as speed in Indonesia.,speed in Indonesia ,I dont know But i think other streamer is not as famous as speed in Indonesia
1839287962317582556,2024-09-26 12:56:00+00:00,An Indonesian fan creating a memorial poster of Speed’s time in Indonesia is such a heartfelt gesture . It shows how much those moments meant to them.,speed in Indonesia ,An Indonesian fan creating a memorial poster of Speeds time in Indonesia is such a heartfelt gesture  It shows how much those moments meant to them
1839014371072291012,2024-09-25 18:49:00+00:00,"bakit nakakaawa si cong kung ""nag bouncer"" cya? or inutusan cya? i mean its speeds show not him if he aint for the job then gtfo right? just look at yb in indonesia handled everything and made it happen 🤷‍♂️ i mean if i have 12 million subs and im the tg of speed automatic SANTAI!",speed in Indonesia ,bakit nakakaawa si cong kung nag bouncer cya or inutusan cya i mean its speeds show not him if he aint for the job then gtfo right just look at yb in indonesia handled everything and made it happen  i mean if i have 12 million subs and im the tg of speed automatic SANTAI
1839287780100419599,2024-09-26 12:55:00+00:00,"That’s such a heartfelt tribute! Speed truly left an impact during his time in Indonesia, and fans are showing their love in a beautiful way.",speed in Indonesia ,Thats such a heartfelt tribute Speed truly left an impact during his time in Indonesia and fans are showing their love in a beautiful way
1838981740817457213,2024-09-25 16:39:00+00:00,tbh speed had fun more in Indonesia compare to sg n msia,speed in Indonesia ,tbh speed had fun more in Indonesia compare to sg n msia
